Unnamed: 0,Perfil,Puesto,Vacantes PA,Activos,Empresa,CLASIFICACIÓN,SueldoP,Reclutamiento,Costo ReclutamientoP,Costo Nomina,%HB,Productividad,Costo Productividad,%HBI,Vp
14,CORPORATIVO,Administrativo,8,3,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,10178.76516703103,81430.12133624824,247724.23332,32.87,0,0,32.87,VP BU1
47,CORPORATIVO,Administrativo,1,1,"SERVICIOS DE CAPITAL HUMANO AXO, S.A. DE C.V.",CEDIS,82574.74444,10178.76516703103,10178.76516703103,82574.74444,12.33,0,0,12.33,VP BU1
22,OPERATIVO,Auxiliar,150,88,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,PDV FULL PRICE,48195.11442,3528.286861937316,529243.0292905974,4241170.06896,12.48,0,0,12.48,VP BU2
22,OPERATIVO,Auxiliar,1,1,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,PDV FULL PRICE,48195.11442,3528.286861937316,3528.286861937316,48195.11442,7.32,0,0,7.32,VP BU3
29,OPERATIVO,Auxiliar,15,9,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,52924.30292905974,743172.69996,7.12,0,0,7.12,VP BU2
29,OPERATIVO,Auxiliar,0,0,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,0.0,0.0,0.0,0,0,0.0,VP BU3
18,OPERATIVO,Auxiliar,7,4,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,24698.008033561215,330298.97776,7.48,0,0,7.48,VP BU1
25,OPERATIVO,Ayudante General,28,19,INTEGRACION DE CAPITAL AXO S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,98792.03213424486,1568920.1443599998,6.3,0,0,6.3,VP BU1
11,OPERATIVO,Ayudante General,140,94,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,493960.1606712243,7762025.97736,6.36,0,0,6.36,VP BU1
15,OPERATIVO,Ayudante Temporada,15,0,ALIANZA RETAIL AND OUTLET S.A. DE C.V.,CEDIS,82574.74444,3528.286861937316,52924.30292905974,0.0,0.0,0,0,0.0,VP BU1
